product_basket,section,family,SF_type,industry_group,SIC,running_perc,avg_lag,weighted_avg,sales,is_commodity
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,Financial And Insurance Activities,0.42342342342342343,98.36577181208054,79.53765625514646,14627.700000000028,0
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,"Professional, Scientific And Technical Activities",0.5300546448087432,88.52402745995424,81.01797465890164,47405.680000000066,0
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,Real Estate Activities,0.3333333333333333,67.23076923076923,35.35503202905741,2708.7999999999997,0
HYG,HYGIENE & CLEANING,WIPING,CORP,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.34615384615384615,79.45631067961165,89.24928266624168,15609.269999999993,1
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,Administrative And Support Service Activities,0.4555084745762712,92.99504541701073,81.52374549545932,79783.03000000025,0
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.56,131.98888888888888,81.17485494354979,8351.3,0
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,Financial And Insurance Activities,0.5102040816326531,92.77264325323475,82.70400458196748,30081.26000000001,0
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,"Professional, Scientific And Technical Activities",0.42399049881235157,84.47098976109216,78.40212768182522,198078.6399999992,0
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,Real Estate Activities,0.49504950495049505,106.84867075664621,95.78089211119918,26550.680000000004,0
HYG,HYGIENE & CLEANING,WIPING,SMB,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.26282051282051283,84.66295707472177,77.61821853349059,54858.42000000004,0
